code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
0270346,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach",0.0,0.0,0.0,0,0,4,4,18.0
027034Z,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",0.6815642457719796,0.9037037036367627,0.7770700587429511,122,57,13,135,700.0
027035Z,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",0.41818181810578514,0.6764705880363322,0.5168539277464969,23,32,11,34,145.0
027036Z,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.3999999992,0.3999999992,0.39999999420000004,2,3,3,5,27.0
02703DZ,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach",0.9999999985714286,0.6363636357851239,0.7777777721604938,7,0,4,11,46.0
02703ZZ,"Dilation of Coronary Artery, One Artery, Percutaneous Approach",0.5957446807243096,0.7567567565522278,0.6666666615787983,28,19,9,37,164.0
027134Z,"Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach",0.249999999375,0.08333333326388888,0.1249999960937501,1,3,11,12,60.0
027135Z,"Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",0.5555555549382716,0.29411764688581316,0.38461537979289945,5,4,12,17,64.0
027136Z,"Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.0,0.0,0.0,0,13,5,5,24.0
02713ZZ,"Dilation of Coronary Artery, Two Arteries, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,12.0
027234Z,"Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,9.0
027236Z,"Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,8.0
027F3ZZ,"Dilation of Aortic Valve, Percutaneous Approach",0.6666666655555555,0.6666666655555555,0.6666666605555556,4,2,2,6,24.0
027V3DZ,"Dilation of Superior Vena Cava with Intraluminal Device, Percutaneous Approach",0.3333333322222222,0.9999999900000002,0.49999999375000004,1,2,0,1,8.0
027V3ZZ,"Dilation of Superior Vena Cava, Percutaneous Approach",0.7999999984,0.7999999984,0.7999999934,4,1,1,5,24.0
02B50ZZ,"Excision of Atrial Septum, Open Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,9.0
02B70ZK,"Excision of Left Atrial Appendage, Open Approach",0.49999999916666665,0.5999999988,0.5454545395041324,3,3,2,5,24.0
02B70ZZ,"Excision of Left Atrium, Open Approach",0.6666666644444444,0.999999995,0.799999992,2,1,0,2,8.0
02BF0ZZ,"Excision of Aortic Valve, Open Approach",0.9999999900000002,0.9999999900000002,0.9999999850000002,1,0,0,1,8.0
02BG0ZZ,"Excision of Mitral Valve, Open Approach",0.7999999992,0.3076923075739645,0.4444444401851852,8,2,18,26,131.0
02BK3ZX,"Excision of Right Ventricle, Percutaneous Approach, Diagnostic",0.7142857137755102,0.7692307686390532,0.7407407351989027,10,4,3,13,29.0
02BN0ZZ,"Excision of Pericardium, Open Approach",0.0,0.0,0.0,0,2,3,3,13.0
02C03ZZ,"Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Approach",0.7222222218209876,0.519999999792,0.6046511576419688,13,5,12,25,88.0
02C13ZZ,"Extirpation of Matter from Coronary Artery, Two Arteries, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,7.0
02CN0ZZ,"Extirpation of Matter from Pericardium, Open Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,9.0
02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",0.9999999900000002,0.3333333322222222,0.49999999375000004,1,0,2,3,17.0
